,Exchange Date,Bid
590,04-Feb-2020,"13,549.6142"
591,03-Feb-2020,"13,852.0096"
592,31-Jan-2020,"13,968.7733"
593,30-Jan-2020,"14,195.4491"
594,29-Jan-2020,"13,846.8542"
595,28-Jan-2020,"13,361.8069"
596,27-Jan-2020,"13,231.3665"
597,24-Jan-2020,"12,435.7394"
598,23-Jan-2020,"12,238.2301"
599,22-Jan-2020,"12,612.0800"
600,21-Jan-2020,"12,728.5130"
601,20-Jan-2020,"12,613.7620"
602,17-Jan-2020,"12,954.5388"
603,16-Jan-2020,"12,577.6667"
604,15-Jan-2020,"12,774.5510"
605,14-Jan-2020,"12,661.1852"
606,13-Jan-2020,"11,772.1756"
607,10-Jan-2020,"11,640.2317"
608,09-Jan-2020,"11,343.6944"
609,08-Jan-2020,"11,656.7705"
610,07-Jan-2020,"11,674.0175"
611,06-Jan-2020,"10,907.9095"
612,03-Jan-2020,"10,459.4847"
613,02-Jan-2020,"9,945.5390"
614,01-Jan-2020,"10,277.2015"
615,31-Dec-2019,"10,190.1168"
616,30-Dec-2019,"10,350.9364"
617,27-Dec-2019,"10,337.1400"
618,26-Dec-2019,"10,338.7417"
619,25-Dec-2019,"10,409.6807"
620,24-Dec-2019,"10,460.4218"
621,23-Dec-2019,"10,560.8520"
622,20-Dec-2019,"10,426.8261"
623,19-Dec-2019,"10,378.8649"
624,18-Dec-2019,"10,397.8407"
625,17-Dec-2019,"9,648.7015"
626,16-Dec-2019,"9,978.2457"
627,13-Dec-2019,"10,521.2738"
628,12-Dec-2019,"10,411.8234"
629,11-Dec-2019,"10,454.4556"
630,10-Dec-2019,"10,597.7386"
631,09-Dec-2019,"10,775.0696"
632,06-Dec-2019,"10,918.5819"
633,05-Dec-2019,"10,792.2897"
634,04-Dec-2019,"10,479.7548"
635,03-Dec-2019,"10,696.5245"
636,02-Dec-2019,"10,731.3389"
637,29-Nov-2019,"11,380.8306"
638,28-Nov-2019,"11,165.9578"
639,27-Nov-2019,"11,131.6123"
640,26-Nov-2019,"10,470.9236"
641,25-Nov-2019,"10,621.4244"
642,22-Nov-2019,"10,808.5752"
643,21-Nov-2019,"11,177.2098"
644,20-Nov-2019,"11,879.5267"
645,19-Nov-2019,"11,866.7643"
646,18-Nov-2019,"12,058.5205"
647,15-Nov-2019,"12,382.2607"
648,14-Nov-2019,"12,737.1685"
649,13-Nov-2019,"12,791.3584"
650,12-Nov-2019,"12,799.5324"
651,11-Nov-2019,"12,739.9445"
652,08-Nov-2019,"12,906.1926"
653,07-Nov-2019,"13,343.4556"
654,06-Nov-2019,"13,530.9704"
655,05-Nov-2019,"13,555.2654"
656,04-Nov-2019,"13,702.8613"
657,01-Nov-2019,"13,311.1063"
658,31-Oct-2019,"13,329.6447"
659,30-Oct-2019,"13,301.6512"
660,29-Oct-2019,"13,757.4800"
661,28-Oct-2019,"13,822.8835"
662,25-Oct-2019,"12,555.2169"
663,24-Oct-2019,"10,924.9927"
664,23-Oct-2019,"10,922.9613"
665,22-Oct-2019,"11,843.9633"
666,21-Oct-2019,"11,938.9172"
667,18-Oct-2019,"11,582.3246"
668,17-Oct-2019,"11,781.9461"
669,16-Oct-2019,"11,816.3142"
670,15-Oct-2019,"12,050.5922"
671,14-Oct-2019,"12,305.9179"
672,11-Oct-2019,"12,275.6884"
673,10-Oct-2019,"12,687.8143"
674,09-Oct-2019,"12,759.6760"
675,08-Oct-2019,"12,072.9718"
676,07-Oct-2019,"12,199.2574"
677,04-Oct-2019,"12,059.3501"
678,03-Oct-2019,"12,076.6128"
679,02-Oct-2019,"12,264.1920"
680,01-Oct-2019,"12,476.6925"
681,30-Sep-2019,"12,196.5042"
682,27-Sep-2019,"11,905.8380"
683,26-Sep-2019,"11,982.7111"
684,25-Sep-2019,"12,590.3140"
685,24-Sep-2019,"12,589.1371"
686,23-Sep-2019,"14,411.3818"
687,20-Sep-2019,"14,965.5539"
688,19-Sep-2019,"15,099.2199"
689,18-Sep-2019,"14,921.6137"
690,17-Sep-2019,"14,919.2022"
691,16-Sep-2019,"14,876.8167"
692,13-Sep-2019,"14,924.8001"
693,12-Sep-2019,"15,036.4007"
694,11-Sep-2019,"14,711.9918"
